trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2013-07-22,2013-09-30,94,121,433.47,28.609,REVERSAL,0.29,43.564,9.574
2,2014-06-23,2015-01-12,601,220,-1516.77,-63.463,STOP,-1.006,9.631,57.571
3,2016-01-18,2016-06-20,403,562,1381.64,39.334,STOP,0.934,93.263,9.744
4,2016-08-29,2016-11-21,605,726,822.91,19.89,STRONG,0.55,24.805,2.132
5,2017-03-27,2017-05-22,1079,2265,3634.18,109.762,TARGET,2.399,91.206,0.26
6,2018-02-26,2019-06-03,11464,7632,-619.28,-33.51,REVERSAL,-0.393,1.954,72.764
7,2019-08-19,2020-02-24,10138,8528,-474.7,-15.973,REVERSAL,-0.302,8.0,36.625
8,2020-06-22,2020-08-10,9119,11913,959.17,30.524,REVERSAL,0.619,32.69,2.347
9,2020-09-14,2020-12-14,10925,20567,3759.65,88.112,TARGET,2.4,82.316,7.201
10,2021-07-26,2021-09-13,39840,47244,466.45,18.475,REVERSAL,0.289,32.923,6.376
11,2021-11-15,2021-11-22,58679,57338,-87.39,-2.384,REVERSAL,-0.051,1.428,9.152
12,2023-05-22,2024-01-15,28073,41453,2418.17,47.538,STOP,1.486,74.716,11.816
13,2024-08-19,2024-12-23,64263,93556,1999.32,45.46,REVERSAL,1.202,68.626,18.233
14,2025-04-21,2025-05-26,93770,105704,608.65,12.621,STRONG,0.362,19.441,0.985
15,2025-06-16,2025-06-23,101016,108383,398.26,7.189,REVERSAL,0.237,7.454,1.298
16,2025-08-18,2025-08-25,113479,108268,-316.16,-4.69,REVERSAL,-0.181,0.146,5.367
17,2025-10-06,2025-10-20,115091,114550,-37.37,-0.57,REVERSAL,-0.018,0.82,10.045
